Name,Points,Position,School
Trey Edeker,0.0,RB/DE,WACO
Trey Fisher,17.6,RB/LB,Southeast Warren
Trey Rosenbeck,0.0,TE/LB,Coon Rapids-Bayard
Treyton Franzen,0.6,FB/LB,Turkey Valley
Treyton Travis,31.3,WR/CB,Baxter
Treyvon Herron,0.0,WR/DB,Gladbrook-Reinbeck
Tristan Freiberg,0.0,WR/CB,Tripoli
Tristen Burkhart,9.4,RB/LB,Boyer Valley
Triton Gwinn,0.0,RB/LB,Mormon Trail
Trypp Roszell,0.0,WR/DB,Gladbrook-Reinbeck
Tucker Wright,0.0,RB/DB,BGM
Tucker Youngblut,0.0,,Don Bosco
Ty Alcott,49.02,RB/DB,Belle Plaine
Ty Christensen,23.5,,Don Bosco
Ty Flathers,0.4,RB/DB,CAM
Ty Lindquist,3.4,FB/LB,Dunkerton
Ty Tauber,0.0,OT/LB,Newell-Fonda
Tyler Ballard,0.0,TE/DE,HLV
Tyler Rodgers,0.0,WR/CB,Mormon Trail
Tyler Rogers,0.0,LB/RB,WACO
Urijah Courter,0.0,RB/DB,Collins-Maxwell
Wade Ragaller,9.4,RB/LB,Ar-We-Va
Wade Sankot,2.1,RB/LB,Belle Plaine
Waylon Hein,1.5,TE/LB,Glidden-Ralston
Wiatt Schulte,0.0,DL/OL,Boyer Valley
Will Felper,0.0,SL,Riceville
Wyatt Christiansen,0.0,RB/LB,Midland
Wyatt Kelley,0.9,RB/LB,East Union
Wyatt Leonard,0.0,RB/LB,Lenox
Wyatt Nelson,2.0,RB/DB,West Central
Wyatt Oswald,23.12,QB/LB,Coon Rapids-Bayard
Wyatt Patton,3.5,OG/LB,Murray
